"id","target"
"1",1
"2",1
"3",0
"4",0
"5",0
"6",1
"7",1
"8",1
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",1
"16",0
"17",0
"18",1
"19",1
"20",0
"21",1
"22",1
"23",0
"24",0
"25",1
"26",1
"27",1
"28",0
"29",1
"30",1
"31",0
"32",1
"33",0
"34",1
"35",0
"36",0
"37",1
"38",0
"39",0
"40",0
"41",0
"42",0
"43",1
"44",0
"45",1
"46",1
"47",0
"48",0
"49",1
"50",1
"51",1
"52",0
"53",0
"54",0
"55",0
"56",0
"57",1
"58",1
"59",0
"60",0
"61",1
"62",0
"63",1
"64",0
"65",0
"66",0
"67",1
"68",1
"69",1
"70",1
"71",1
"72",1
"73",1
"74",1
"75",1
"76",0
"77",0
"78",1
"79",0
"80",0
"81",1
"82",1
"83",1
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",1
"92",1
"93",1
"94",1
"95",0
"96",1
"97",0
"98",1
"99",0
"100",1
"101",0
"102",0
"103",1
"104",0
"105",1
"106",0
"107",1
"108",0
"109",0
"110",1
"111",0
"112",0
"113",1
"114",0
"115",0
"116",1
"117",0
"118",0
"119",0
"120",0
"121",1
"122",0
"123",0
"124",0
"125",1
"126",0
"127",0
"128",1
"129",1
"130",1
"131",1
"132",1
"133",1
"134",1
"135",1
"136",0
"137",0
"138",0
"139",1
"140",0
"141",1
"142",0
"143",1
"144",0
"145",0
"146",1
"147",0
"148",0
"149",1
"150",0
"151",1
"152",0
"153",1
"154",0
"155",0
"156",1
"157",1
"158",0
"159",0
"160",0
"161",0
"162",1
"163",0
"164",0
"165",1
"166",0
"167",0
"168",1
"169",1
"170",0
"171",1
"172",0
"173",1
"174",1
"175",1
"176",1
"177",0
"178",1
"179",0
"180",1
"181",1
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",1
"189",0
"190",0
"191",1
"192",0
"193",1
"194",1
"195",0
"196",0
"197",0
"198",1
"199",0
"200",1
